train_set,delx,dely,alpha,eta,lt,theta,k,l1,l2,kde.bw,kde.lags,kde.win,pei,pai
train_13,125,125,0.105263157894737,0.5,7,0,50,0,1e-04,250,3,10,0.0168711656441718,5.42258716576132
train_13,125,125,0.105263157894737,0.5,7,0,50,0,5e-04,250,3,10,0.0168711656441718,5.42258716576132
train_13,125,125,0.105263157894737,0.5,7,0,50,0,0.001,250,3,10,0.0138036809815951,4.43666222653199
train_13,125,125,0.105263157894737,0.5,7,0,50,1e-05,0,250,3,10,0.0260736196319018,8.38036198344931
train_13,125,125,0.105263157894737,0.5,7,0,50,1e-05,1e-05,250,3,10,0.0199386503067485,6.40851210499065
train_13,125,125,0.105263157894737,0.5,7,0,50,1e-05,5e-05,250,3,10,0.0230061349693252,7.39443704421998
train_13,125,125,0.105263157894737,0.5,7,0,50,1e-05,1e-04,250,3,10,0.0168711656441718,5.42258716576132
train_13,125,125,0.105263157894737,0.5,7,0,50,1e-05,5e-04,250,3,10,0.0214723926380368,6.90147457460531
train_13,125,125,0.105263157894737,0.5,7,0,50,1e-05,0.001,250,3,10,0.0184049079754601,5.91554963537598
train_13,125,125,0.105263157894737,0.5,7,0,50,5e-05,0,250,3,10,0.0260736196319018,8.38036198344931
train_13,125,125,0.105263157894737,0.5,7,0,50,5e-05,1e-05,250,3,10,0.0184049079754601,5.91554963537598
train_13,125,125,0.105263157894737,0.5,7,0,50,5e-05,5e-05,250,3,10,0.0230061349693252,7.39443704421998
train_13,125,125,0.105263157894737,0.5,7,0,50,5e-05,1e-04,250,3,10,0.0168711656441718,5.42258716576132
train_13,125,125,0.105263157894737,0.5,7,0,50,5e-05,5e-04,250,3,10,0.0199386503067485,6.40851210499065
train_13,125,125,0.105263157894737,0.5,7,0,50,5e-05,0.001,250,3,10,0.0168711656441718,5.42258716576132
train_13,125,125,0.105263157894737,0.5,7,0,50,1e-04,0,250,3,10,0.0260736196319018,8.38036198344931
train_13,125,125,0.105263157894737,0.5,7,0,50,1e-04,1e-05,250,3,10,0.0260736196319018,8.38036198344931
train_13,125,125,0.105263157894737,0.5,7,0,50,1e-04,5e-05,250,3,10,0.0260736196319018,8.38036198344931
train_13,125,125,0.105263157894737,0.5,7,0,50,1e-04,1e-04,250,3,10,0.0168711656441718,5.42258716576132
train_13,125,125,0.105263157894737,0.5,7,0,50,1e-04,5e-04,250,3,10,0.0184049079754601,5.91554963537598
train_13,125,125,0.105263157894737,0.5,7,0,50,1e-04,0.001,250,3,10,0.0230061349693252,7.39443704421998
train_13,125,125,0.105263157894737,0.5,7,0,50,5e-04,0,250,3,10,0.0260736196319018,8.38036198344931
train_13,125,125,0.105263157894737,0.5,7,0,50,5e-04,1e-05,250,3,10,0.0260736196319018,8.38036198344931
train_13,125,125,0.105263157894737,0.5,7,0,50,5e-04,5e-05,250,3,10,0.0214723926380368,6.90147457460531
train_13,125,125,0.105263157894737,0.5,7,0,50,5e-04,1e-04,250,3,10,0.0168711656441718,5.42258716576132
train_13,125,125,0.105263157894737,0.5,7,0,50,5e-04,5e-04,250,3,10,0.0260736196319018,8.38036198344931
train_13,125,125,0.105263157894737,0.5,7,0,50,5e-04,0.001,250,3,10,0.0260736196319018,8.38036198344931
train_13,125,125,0.105263157894737,0.5,7,0,50,0.001,0,250,3,10,0.0260736196319018,8.38036198344931
train_13,125,125,0.105263157894737,0.5,7,0,50,0.001,1e-05,250,3,10,0.0260736196319018,8.38036198344931
train_13,125,125,0.105263157894737,0.5,7,0,50,0.001,5e-05,250,3,10,0.0168711656441718,5.42258716576132
train_13,125,125,0.105263157894737,0.5,7,0,50,0.001,1e-04,250,3,10,0.0153374233128834,4.92962469614665
train_13,125,125,0.105263157894737,0.5,7,0,50,0.001,5e-04,250,3,10,0.0260736196319018,8.38036198344931
train_13,125,125,0.105263157894737,0.5,7,0,50,0.001,0.001,250,3,10,0.0260736196319018,8.38036198344931
train_13,125,125,0.157894736842105,0.5,7,0,50,0,0,250,3,10,0.190271816881259,60.3144200472321
train_13,125,125,0.157894736842105,0.5,7,0,50,0,1e-05,250,3,10,0.0786838340486409,24.9420534029907
train_13,125,125,0.157894736842105,0.5,7,0,50,0,5e-05,250,3,10,0.0228898426323319,7.25587008087003
train_13,125,125,0.157894736842105,0.5,7,0,50,0,1e-04,250,3,10,0.0171673819742489,5.44190256065252
train_13,125,125,0.157894736842105,0.5,7,0,50,0,5e-04,250,3,10,0.0157367668097282,4.98841068059815
