delx,dely,alpha,kde.bw,kde.lags,horizon,crime.type, pei,pai
600,600,0,800,1,2m,vehicle,0.171,11.504
600,600,0,800,1,3m,all,0.897,30.345
600,600,0,800,1,3m,street,0.882,47.475
600,600,0,800,1,3m,burglary,0.071,6.499
600,600,0,800,1,3m,vehicle,0.244,13.706
600,600,0,1000,1,1w,all,0.791,29.83
600,600,0,1000,1,1w,street,0.613,48.272
600,600,0,1000,1,1w,burglary,0.091,51.992
600,600,0,1000,1,1w,vehicle,0.048,12.168
600,600,0,1000,1,2w,all,0.837,29.88
600,600,0,1000,1,2w,street,0.767,47.615
600,600,0,1000,1,2w,burglary,0.048,20.425
600,600,0,1000,1,2w,vehicle,0.13,18.649
600,600,0,1000,1,1m,all,0.849,29.606
600,600,0,1000,1,1m,street,0.833,46.042
600,600,0,1000,1,1m,burglary,0.042,8.055
600,600,0,1000,1,1m,vehicle,0.121,11.269
600,600,0,1000,1,2m,all,0.875,29.653
600,600,0,1000,1,2m,street,0.885,48.64
600,600,0,1000,1,2m,burglary,0.036,4.236
600,600,0,1000,1,2m,vehicle,0.122,8.217
600,600,0,1000,1,3m,all,0.886,29.989
600,600,0,1000,1,3m,street,0.876,47.169
600,600,0,1000,1,3m,burglary,0.071,6.499
600,600,0,1000,1,3m,vehicle,0.178,9.968
600,600,0,1000,6,2m,all,0.895,30.204
250,250,0,250,1,1w,all,0.77,48.407
250,250,0,250,1,1w,street,0.722,65.329
250,250,0,250,1,1w,burglary,0.578,91.584
250,250,0,250,1,1w,vehicle,0.624,69.929
250,250,0,250,1,2w,all,0.768,48.328
250,250,0,250,1,2w,street,0.72,64.928
250,250,0,250,1,2w,burglary,0.574,88.579
250,250,0,250,1,2w,vehicle,0.611,67.946
250,250,0,250,1,1m,all,0.768,48.315
250,250,0,250,1,1m,street,0.72,64.674
250,250,0,250,1,1m,burglary,0.557,81.789
250,250,0,250,1,1m,vehicle,0.576,63.822
250,250,0,250,1,2m,all,0.77,48.359
250,250,0,250,1,2m,street,0.72,64.591
250,250,0,250,1,2m,burglary,0.538,73.414
250,250,0,250,1,2m,vehicle,0.542,59.358
250,250,0,250,1,3m,all,0.77,48.294
250,250,0,250,1,3m,street,0.714,63.131
250,250,0,250,1,3m,burglary,0.534,68.895
250,250,0,250,1,3m,vehicle,0.543,56.447
250,425,0,250,1,1w,all,0.842,42.033
250,425,0,250,1,1w,street,0.796,58.451
250,425,0,250,1,1w,burglary,0.624,67.98
250,425,0,250,1,1w,vehicle,0.543,48.108
250,425,0,250,1,2w,all,0.843,42.065
250,425,0,250,1,2w,street,0.796,58.338
250,425,0,250,1,2w,burglary,0.621,66.882
